Motifs	Average log2FC	Adjusted p-value	Cluster
Rarb(var.2)	0.476032143	6.23117E-08	Other expanded
SOX12	0.476262716	1.06848E-23	Not expanded
FOSB::JUN	0.477932682	2.87434E-41	Other expanded
ZFP57	0.478758063	0.117370298	C3
FOSB::JUNB(var.2)	0.479254242	7.92095E-14	C3
RORA(var.2)	0.479411605	1.63646E-16	Not expanded
ATF7	0.479581008	0.009267983	C4
MGA	0.480979622	2.06827E-34	C3
TBX15	0.480979622	2.06827E-34	C3
ZKSCAN1	0.481963851	2.58279E-17	C1
NKX2-3	0.482652477	0.8628799	C5
NFATC2	0.483259432	1	C5
Npas2	0.48360277	7.21665E-19	C2
RARG(var.3)	0.484293203	4.53135E-26	Not expanded
EN1	0.484294606	0.002839298	C2
GFI1	0.485868437	0.000303706	C3
JUN	0.486108754	0.000516442	C5
MAFG	0.486135051	3.78511E-05	C3
Lhx3	0.488888292	5.1427E-17	Not expanded
HOXC11	0.488901537	2.02976E-13	Not expanded
RARG(var.3)	0.489141775	1	C4
Zfx	0.490700353	0.422091587	C5
RXRA::VDR	0.49205143	0.000955284	C3
GLIS1	0.49236959	1	C4
ZBTB14	0.492752161	3.86328E-10	C2
Creb3l2	0.493503414	5.39638E-32	C1
MAX::MYC	0.494214809	0.001002763	C3
HNF4A(var.2)	0.494239027	9.96817E-17	C1
TEF	0.49687488	0.005599636	Not expanded
TBX6	0.497031203	7.03613E-36	C3
FOSL1::JUND(var.2)	0.498313906	2.02411E-27	Other expanded
TP73	0.498428556	0.009642759	C3
CDX1	0.499011326	0.000220669	Other expanded
ZFP57	0.499882921	1.16901E-11	Other expanded
ZNF135	0.500309897	0.106207383	C4
NOTO	0.500516976	7.08402E-06	C2
PPARG	0.500860731	0.000326776	C3
RARA	0.501288484	0.197590789	C4
NR2F1	0.502652608	0.667419985	C4
ZNF354C	0.502837498	4.69544E-06	C3
NR2F6(var.3)	0.504363908	0.012202657	C3
POU6F1(var.2)	0.505414645	3.31289E-05	C3
TCF7L2	0.505508374	3.6042E-254	Not expanded
RELA	0.506065509	1.2712E-23	C1
DLX5	0.506113884	4.91326E-15	C1
THRB(var.2)	0.5065395	0.887189802	C3
NR1H4::RXRA	0.506916434	0.015910541	C3
NR2C1	0.506945653	1.48282E-13	Other expanded
ELK4	0.507794772	0.000270404	C4
SMAD2::SMAD3::SMAD4	0.50823308	1.43565E-14	C2
HESX1	0.509702125	4.08622E-13	Not expanded
HES1	0.512101942	1.57851E-10	C3
TBX3	0.514180855	9.46325E-34	C3
ETV5	0.516082927	1.91985E-87	Other expanded
GLI3	0.51759216	8.10942E-09	C3
E2F1	0.517989372	8.9219E-12	C1
HES1	0.518759223	1.21404E-10	Other expanded
HIC2	0.520169383	1.26931E-09	Other expanded
DMRT3	0.520206693	4.42224E-10	Not expanded
SCRT1	0.520329651	1.92859E-20	Not expanded
FOXP2	0.520391389	8.4178E-28	Not expanded
Rarb	0.521262495	0.43747645	C4
FOXC2	0.522226272	4.45237E-17	Not expanded
HOXB9	0.522670943	4.76319E-23	Not expanded
TP53	0.523744962	2.91324E-07	Not expanded
Plagl1	0.52392008	6.27743E-12	C3
NFATC4	0.524647973	0.116497617	C4
ZIC4	0.524920598	2.66887E-05	Not expanded
IRF1	0.52506497	1.7623E-175	C2
HOXB9	0.52628746	0.020328979	C3
GLI2	0.527450941	1.14359E-08	C3
HES2	0.53010577	1.09026E-06	C3
FOSL1::JUND(var.2)	0.530773799	1	C5
PITX2	0.532033203	1.67665E-09	C2
ONECUT2	0.532223676	5.09333E-29	C1
IKZF1	0.532855343	8.08063E-18	C4
Foxo1	0.533371084	1.4096E-54	C1
GLIS2	0.534969945	2.07105E-19	Not expanded
RREB1	0.535118303	1.31423E-37	C2
RARA(var.2)	0.535691066	0.9468561	C5
MEOX1	0.536062098	7.1301E-11	C2
CREM	0.536121781	0.002591114	C4
DBP	0.536380597	0.007880286	C5
HLF	0.537289487	9.26016E-80	C1
Mlxip	0.538310674	1.45183E-14	Other expanded
Creb5	0.539406611	1	C5
ATF3	0.539596918	8.15989E-73	Other expanded
ZNF140	0.539621897	7.41157E-06	C2
MAFG	0.540915819	8.73062E-21	C2
HOXC9	0.542510019	0.10749712	C3
HOXB7	0.542749597	3.93681E-17	Not expanded
FOXC2	0.54358035	7.96997E-37	C1
PITX2	0.543965492	4.00899E-33	C1
ZBED1	0.545362415	3.55828E-22	C1
TP73	0.545378884	9.732E-10	C2
JUNB(var.2)	0.545406916	1.09095E-24	C3
MGA	0.546387968	3.63239E-69	C2
TBX15	0.546387968	3.63239E-69	C2
TFAP2E	0.547331535	2.04144E-06	C3
HES6	0.547460922	1	C4
